# BugSigDB 2021-08-22, License: Creative Commons Attribution 4.0 International, URL: https://bugsigdb.org
Study	Study design	PMID	DOI	URL	Authors	Title	Journal	Year	Experiment	Location of subjects	Host species	Body site	Condition	Group 0 name	Group 1 name	Group 1 definition	Group 0 sample size	Group 1 sample size	Antibiotics exclusion	Sequencing type	16s variable region	Sequencing platform	Statistical test	Significance threshold	MHT correction	LDA Score above	Matched on	Confounders controlled for	Pielou	Shannon	Chao1	Simpson	Inverse Simpson	Richness	Signature page name	Source	Curated date	Curator	Revision editor	Description	Abundance in Group 1	MetaPhlAn taxon names	NCBI Taxonomy IDs
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 1	United States of America	Homo sapiens	feces	adenoma	controls	conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	144	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	decreased	NA	NA	NA	decreased	Signature 1	Table 2 + Supplemental Table S5 + S3+ S4	5 September 2018	Levi Waldron	WikiWorks743,WikiWorks753	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	increased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 1	United States of America	Homo sapiens	feces	adenoma	controls	conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	144	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	decreased	NA	NA	NA	decreased	Signature 2	Table 2 + Supplemental Table S5 + S3+ S4	5 September 2018	Levi Waldron	WikiWorks743	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	decreased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 2	United States of America	Homo sapiens	feces	NA	controls	hyperplastic polyp cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	40	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	unchanged	NA	NA	NA	unchanged	Signature 1	Table 2 + Supplemental Table S5 + S3+ S4	5 September 2018	Levi Waldron	WikiWorks743	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	increased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 2	United States of America	Homo sapiens	feces	NA	controls	hyperplastic polyp cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	40	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	unchanged	NA	NA	NA	unchanged	Signature 2	Table 2 + Supplemental Table S5 + S3+ S4	5 September 2018	Levi Waldron	WikiWorks743	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	decreased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 3	United States of America	Homo sapiens	feces	NA	controls	Sessile serrated adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	33	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	unchanged	NA	NA	NA	unchanged	Signature 1	Table 2 + Supplemental Table S5 + S3+ S4	5 September 2018	Levi Waldron	WikiWorks743	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	decreased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 4	United States of America	Homo sapiens	feces	adenoma	controls	Proximal conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	87	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	unchanged	NA	NA	NA	unchanged	Signature 1	Supplemental Table S6 + S3	5 September 2018	Marianthi Thomatos	WikiWorks743	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	increased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 4	United States of America	Homo sapiens	feces	adenoma	controls	Proximal conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	87	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	unchanged	NA	NA	NA	unchanged	Signature 2	Supplemental Table S6 + S3	5 September 2018	Marianthi Thomatos	WikiWorks743	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	decreased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 5	United States of America	Homo sapiens	feces	adenoma	controls	Distal conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	55	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	unchanged	NA	NA	NA	unchanged	Signature 1	Supplemental Table S6 + S3	5 September 2018	Marianthi Thomatos	Fatima,WikiWorks743	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	decreased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 6	United States of America	Homo sapiens	feces	adenoma	controls	Non-advanced conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	121	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	unchanged	NA	NA	NA	unchanged	Signature 1	Supplemental Table S6 + S3	5 September 2018	Marianthi Thomatos	WikiWorks743	Differentially abundant taxa (phylum‐OTU level) between controls and non‐advanced or advanced conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	increased		
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 7	United States of America	Homo sapiens	feces	adenoma	controls	advanced conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	22	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	decreased	NA	NA	NA	decreased	Signature 1	Supplemental Table S7 + S3	5 September 2018	Marianthi Thomatos	WikiWorks743	Differentially abundant taxa (phylum‐OTU level) between controls and non‐advanced or advanced conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	increased		
